,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Returning_Visitor
102,0.0,0.0,0.0,0.0,6.0,415.0,0.0,0.033333333,0.0,1.0,0,1,1,3,2,0,0,1
103,2.0,31.0,1.0,16.0,36.0,2083.530952,0.0,0.01351025,0.0,1.0,0,2,2,4,3,0,0,1
104,3.0,58.5,0.0,0.0,17.0,281.6666667,0.007058824,0.017647059,0.0,0.0,0,1,1,3,4,0,0,1
110,0.0,0.0,0.0,0.0,4.0,253.0,0.0,0.016666667,0.0,1.0,0,2,2,3,3,0,0,1
113,2.0,22.0,0.0,0.0,25.0,436.5,0.008,0.024,0.0,1.0,0,2,3,1,1,0,0,1
114,0.0,0.0,1.0,93.0,30.0,1045.833333,0.012903226,0.035483871,0.0,1.0,0,1,1,1,3,0,0,1
115,0.0,0.0,0.0,0.0,12.0,317.8333333,0.0,0.005555556,0.0,0.0,0,1,1,1,4,1,0,1
116,0.0,0.0,0.0,0.0,21.0,1146.333333,0.0,0.012962963,0.0,1.0,0,3,2,1,3,0,0,1
117,0.0,0.0,0.0,0.0,11.0,577.0,0.018181818,0.027272727000000004,0.0,1.0,0,2,2,3,1,0,0,1
120,0.0,0.0,0.0,0.0,6.0,243.0,0.0,0.033333333,0.0,0.0,0,2,3,4,1,0,0,1
121,0.0,0.0,0.0,0.0,4.0,135.5,0.0,0.05,0.0,1.0,0,2,2,1,2,0,0,1
122,0.0,0.0,2.0,75.0,14.0,442.33333330000005,0.0,0.034375,0.0,1.0,0,1,1,3,3,0,0,1
123,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.066666667,0.0,0.0,0,1,1,3,3,0,0,1
126,0.0,0.0,0.0,0.0,9.0,1238.333333,0.0,0.040740741,0.0,1.0,0,2,2,1,3,0,0,1
127,0.0,0.0,0.0,0.0,10.0,225.4666667,0.0,0.05,0.0,1.0,0,1,1,5,3,0,0,1
131,2.0,20.0,0.0,0.0,16.0,214.8333333,0.0,0.022222222000000003,0.0,0.0,0,2,2,1,5,0,0,1
133,0.0,0.0,0.0,0.0,6.0,2017.166667,0.0,0.011111111000000002,0.0,1.0,0,2,2,4,3,0,0,1
134,6.0,111.5,0.0,0.0,26.0,449.0277778,0.0,0.018518519,0.0,1.0,0,1,1,3,3,0,0,1
135,0.0,0.0,0.0,0.0,6.0,158.16666669999995,0.0,0.033333333,0.0,0.0,0,3,2,4,2,0,0,1
136,0.0,0.0,0.0,0.0,9.0,303.6666667,0.005555556,0.046296296,0.0,0.0,0,2,3,5,2,0,0,1
137,0.0,0.0,0.0,0.0,3.0,25.0,0.0,0.066666667,0.0,0.0,0,2,3,1,5,0,0,1
139,4.0,103.625,0.0,0.0,14.0,1003.416667,0.0,0.018039216,0.0,1.0,0,1,1,3,3,0,0,1
141,0.0,0.0,0.0,0.0,9.0,272.5,0.0,0.011851852,0.0,1.0,0,1,1,5,3,0,0,1
142,3.0,19.0,0.0,0.0,8.0,344.0,0.0,0.007407406999999999,0.0,0.0,0,2,3,2,3,0,0,1
144,0.0,0.0,1.0,19.0,10.0,852.0,0.0,0.009090909,0.0,0.0,0,2,2,3,5,0,0,1
146,0.0,0.0,0.0,0.0,3.0,1038.0,0.0,0.033333333,0.0,0.0,0,2,2,1,1,0,0,1
147,0.0,0.0,0.0,0.0,4.0,573.0,0.0,0.05,0.0,0.0,0,2,2,3,3,0,0,1
148,0.0,0.0,0.0,0.0,28.0,1231.233333,0.007142857,0.030357143,0.0,0.0,0,1,1,4,3,0,0,1
149,0.0,0.0,0.0,0.0,11.0,316.6666667,0.0,0.027272727000000004,0.0,1.0,0,2,2,2,1,0,0,1
150,0.0,0.0,0.0,0.0,20.0,873.7365079,0.0075,0.028166667000000006,0.0,0.0,0,1,2,1,1,0,0,1
153,0.0,0.0,0.0,0.0,19.0,615.0,0.0,0.026315789,0.0,1.0,0,2,2,3,3,0,0,1
154,0.0,0.0,0.0,0.0,9.0,261.75,0.0,0.026666667,0.0,0.0,0,2,3,1,1,0,0,1
155,0.0,0.0,0.0,0.0,21.0,615.8831169,0.033333333,0.04993081,0.0,0.0,0,3,2,2,1,1,0,1
157,0.0,0.0,0.0,0.0,6.0,117.5,0.0,0.033333333,0.0,1.0,0,1,1,1,3,1,0,1
160,0.0,0.0,0.0,0.0,23.0,501.6666667,0.008695652,0.01884058,0.0,1.0,0,1,1,4,2,0,0,1
161,2.0,58.0,2.0,22.0,31.0,829.1666667000002,0.03030303,0.040606061,0.0,0.0,0,1,1,1,1,1,0,1
162,1.0,9.5,0.0,0.0,23.0,1223.0,0.015217391,0.012463768,0.0,0.0,0,1,1,1,2,1,0,1
163,0.0,0.0,0.0,0.0,6.0,467.0,0.0,0.016666667,0.0,1.0,0,1,1,3,3,0,0,1
164,0.0,0.0,0.0,0.0,23.0,737.1666667000002,0.008695652,0.011594203,0.0,1.0,0,2,2,1,3,0,0,1
165,0.0,0.0,0.0,0.0,12.0,129.0,0.0,0.033333333,0.0,0.0,0,1,1,3,2,0,0,1
166,0.0,0.0,0.0,0.0,5.0,63.0,0.0,0.04,0.0,0.0,0,2,2,1,3,0,0,1
168,0.0,0.0,0.0,0.0,11.0,684.3333332999998,0.018181818,0.063636364,0.0,0.0,0,2,3,5,1,0,0,1
169,0.0,0.0,0.0,0.0,20.0,665.4722222,0.0,0.0145,0.0,1.0,0,3,2,5,4,1,0,1
170,1.0,0.0,0.0,0.0,15.0,487.5,0.0,0.019166667,0.0,1.0,0,1,1,2,4,1,0,1
171,0.0,0.0,0.0,0.0,17.0,437.1666667,0.011111111000000002,0.033333333,0.0,0.0,0,2,3,1,3,0,0,1
174,5.0,41.3,0.0,0.0,24.0,446.9277778,0.0,0.008602151,0.0,1.0,0,2,2,5,1,1,0,1
175,3.0,87.0,0.0,0.0,10.0,320.5,0.0,0.015384615,0.0,0.0,0,1,1,2,3,0,0,1
176,0.0,0.0,0.0,0.0,7.0,666.0,0.0,0.014285714,0.0,0.0,0,1,1,5,2,0,0,1
177,1.0,0.0,0.0,0.0,21.0,405.7095238,0.010743802,0.047002635,0.0,0.0,0,1,1,1,4,0,0,1
179,0.0,0.0,0.0,0.0,6.0,163.25,0.033333333,0.033333333,0.0,1.0,0,1,1,5,2,0,0,1
180,0.0,0.0,0.0,0.0,17.0,284.25,0.0,0.011764706000000002,0.0,0.0,0,3,2,5,2,1,0,1
183,0.0,0.0,0.0,0.0,8.0,260.0,0.008333333,0.025,0.0,1.0,0,3,2,1,3,1,0,1
184,0.0,0.0,16.0,1210.3976189999996,5.0,279.8571429,0.003174603,0.012764202,0.0,0.0,3,2,2,1,5,0,0,1
185,0.0,0.0,0.0,0.0,20.0,927.45,0.011111111000000002,0.027248677,8.000740741,0.0,3,1,1,3,1,0,0,1
186,2.0,9.0,0.0,0.0,50.0,836.8,0.0,0.006339869000000001,0.0,0.0,3,2,2,3,2,0,0,1
188,9.0,111.5,1.0,48.5,49.0,1868.819697,0.0,0.020708874,1.706014966,0.0,3,2,2,5,2,0,1,1
189,3.0,47.0,1.0,51.0,68.0,3008.124108,0.007142857,0.016727891,46.53017511,0.0,3,2,2,1,1,0,0,1
192,3.0,52.0,0.0,0.0,9.0,319.0,0.0,0.02,0.0,0.0,3,1,1,1,1,0,0,1
193,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.066666667,0.0,0.0,3,2,2,3,1,0,0,1
194,0.0,0.0,0.0,0.0,22.0,354.3333333,0.009090909,0.057662338,0.0,0.0,3,1,1,5,2,1,0,1
196,2.0,56.0,1.0,144.0,67.0,2563.783333,0.0,0.005797101,19.34265017,0.0,3,2,2,4,2,0,1,0
197,3.0,112.9607843,0.0,0.0,13.0,3014.018519,0.013068182,0.06140625,0.0,0.0,3,2,2,1,2,0,0,1
198,0.0,0.0,0.0,0.0,17.0,840.2333332999998,0.0,0.001666667,109.176,0.0,3,2,2,5,2,0,1,0
199,3.0,94.0,2.0,125.0,55.0,1970.844805,0.0,0.0017241379999999998,96.25511582,0.0,3,2,3,1,2,1,1,0
200,1.0,32.0,0.0,0.0,50.0,2867.0,0.0,0.004,153.44324780000005,0.0,3,2,2,5,5,1,1,1
201,0.0,0.0,0.0,0.0,5.0,43.0,0.0,0.04,0.0,0.0,3,1,1,1,5,1,0,1
202,5.0,218.0,0.0,0.0,13.0,284.5,0.0,0.004166667,0.0,0.0,3,1,1,1,2,0,0,0
204,1.0,119.0,0.0,0.0,12.0,297.6666667,0.0,0.008333333,0.0,0.0,3,3,2,1,5,0,0,1
206,1.0,18.0,0.0,0.0,16.0,1331.75,0.0,0.0125,33.79956701,0.0,3,2,3,2,3,0,1,0
207,2.0,40.0,0.0,0.0,5.0,558.5,0.0,0.028571429,0.0,0.0,3,2,2,5,2,1,0,0
208,3.0,107.0,0.0,0.0,4.0,145.83333330000005,0.0,0.016666667,0.0,0.0,3,3,2,5,1,0,0,0
209,0.0,0.0,0.0,0.0,8.0,731.0,0.0,0.04375,0.0,0.0,3,2,3,1,3,0,0,1
210,2.0,49.0,1.0,127.0,4.0,188.0,0.033333333,0.0375,0.0,0.0,3,3,2,3,2,0,0,1
211,0.0,0.0,0.0,0.0,14.0,565.3333332999998,0.037619048,0.04952381,0.0,0.0,3,2,3,3,1,0,0,1
212,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.05,0.0,0.0,3,3,2,5,5,0,0,1
213,4.0,57.0,0.0,0.0,7.0,591.0,0.006666666999999999,0.033333333,0.0,0.0,3,1,2,5,5,1,0,1
214,2.0,2.0,3.0,261.0,10.0,281.0,0.0,0.042857143,0.0,0.0,3,2,2,1,2,0,0,1
215,2.0,123.0,2.0,306.3333333,18.0,483.83333330000005,0.0,0.02,0.0,0.0,3,2,2,4,1,0,0,1
216,2.0,118.0,0.0,0.0,4.0,42.0,0.0,0.066666667,0.0,0.0,3,1,2,5,3,0,0,1
217,0.0,0.0,0.0,0.0,35.0,1192.386111,0.005714286,0.028571429,0.0,0.0,3,2,3,2,2,0,0,1
219,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.066666667,0.0,0.0,3,2,3,3,5,0,0,1
220,2.0,38.0,0.0,0.0,14.0,643.0,0.0,0.013333333,35.0928,0.0,3,2,2,5,1,0,1,1
223,1.0,54.0,0.0,0.0,6.0,210.5,0.0,0.02,0.0,0.0,3,2,2,1,5,0,0,0
226,5.0,74.25,2.0,84.0,37.0,1599.083333,0.0,0.006578947,0.0,0.0,3,2,2,4,1,0,0,1
227,0.0,0.0,0.0,0.0,9.0,102.5,0.0,0.022222222000000003,0.0,0.0,3,2,2,1,3,0,0,1
228,0.0,0.0,0.0,0.0,16.0,2337.0,0.0,0.013333333,17.76266667,0.0,3,2,2,1,1,0,1,1
229,0.0,0.0,0.0,0.0,19.0,1883.5,0.010526316,0.021052632,0.0,0.0,3,2,2,1,3,0,0,1
230,2.0,32.0,0.0,0.0,50.0,1245.3,0.004,0.020666667,7.146260888,0.0,3,2,2,5,5,1,0,1
232,0.0,0.0,0.0,0.0,9.0,132.0,0.011111111000000002,0.033333333,0.0,0.0,3,4,1,1,3,1,0,1
233,1.0,73.0,1.0,740.0,50.0,1434.255128,0.0,0.019230769,22.03276923,0.0,3,2,2,3,2,1,0,1
234,2.0,154.0,0.0,0.0,18.0,367.25,0.005263158,0.044210525999999986,0.0,0.0,3,3,2,2,1,1,0,1
235,3.0,49.33333333,5.0,303.25,7.0,148.5,0.0,0.014081633,0.0,0.0,3,3,2,2,2,0,0,1
236,3.0,118.5,0.0,0.0,29.0,1482.210784,0.006896551999999999,0.010600255,0.0,0.0,3,3,2,1,5,1,0,1
237,6.0,153.5,0.0,0.0,34.0,1048.492063,0.011578947,0.032225685,0.0,0.0,3,2,3,1,1,1,0,1
238,0.0,0.0,0.0,0.0,9.0,478.0,0.0,0.011111111000000002,0.0,0.0,3,3,2,2,3,1,0,1
239,0.0,0.0,0.0,0.0,16.0,980.25,0.0,0.04,0.0,0.0,3,2,2,4,3,0,0,1
240,8.0,72.25,1.0,21.5,51.0,1124.693074,0.022807018,0.036550087,0.0,0.0,3,2,2,2,2,0,0,1
241,2.0,24.5,0.0,0.0,22.0,353.1666667,0.018181818,0.031818182,0.0,0.0,3,2,3,1,3,0,0,1
242,1.0,0.0,0.0,0.0,18.0,1489.083333,0.023529412000000003,0.046470588,0.0,0.0,3,2,2,5,1,0,0,1
243,0.0,0.0,1.0,1220.0,28.0,2389.333333,0.016666667,0.030833333,0.0,0.0,3,2,2,1,3,1,0,1
244,0.0,0.0,0.0,0.0,7.0,753.0,0.0,0.00952381,0.0,0.0,3,2,3,1,2,0,0,1
245,0.0,0.0,0.0,0.0,31.0,688.1666667000002,0.0,0.019354839,0.0,0.0,3,4,1,1,3,0,0,1
246,0.0,0.0,0.0,0.0,14.0,811.0,0.015384615,0.041025641,0.0,0.0,3,2,2,5,1,0,0,1
247,1.0,22.0,0.0,0.0,9.0,415.25,0.033333333,0.048148148,0.0,0.0,3,3,3,1,1,0,0,1
248,16.0,155.6313131,0.0,0.0,32.0,908.013456,0.005,0.01805276,4.368515556,0.0,3,2,2,3,2,0,1,1
249,1.0,21.33333333,1.0,235.0,71.0,2753.378571,0.012676056000000002,0.015201207,0.0,0.0,3,3,2,2,1,1,0,1
250,2.0,191.0,1.0,100.0,46.0,2452.582143,0.007246376999999998,0.022253906,0.0,0.0,3,3,2,5,3,1,0,1
255,4.0,96.5,0.0,0.0,19.0,1430.659091,0.01,0.025666667,0.0,0.0,3,1,1,1,1,0,0,1
256,1.0,13.0,0.0,0.0,2.0,20.0,0.0,0.05,0.0,0.0,3,3,2,3,2,0,0,1
258,0.0,0.0,0.0,0.0,45.0,844.25,0.0,0.01037037,0.0,0.0,3,1,1,3,1,0,0,1
259,0.0,0.0,1.0,0.0,7.0,188.0,0.0,0.033333333,0.0,0.0,3,2,2,1,5,0,0,0
260,3.0,51.0,0.0,0.0,14.0,527.375,0.015555556000000003,0.033862434,0.0,0.0,3,4,1,5,1,1,0,1
262,1.0,158.0,1.0,64.0,29.0,1916.761905,0.006451613,0.018709677,8.772473117999999,0.0,3,2,2,3,2,1,1,1
263,0.0,0.0,0.0,0.0,9.0,116.3333333,0.0,0.066666667,0.0,0.0,3,2,2,1,1,0,0,1
264,0.0,0.0,0.0,0.0,30.0,397.0,0.0,0.02,0.0,0.0,3,2,2,5,2,0,0,1
266,0.0,0.0,0.0,0.0,20.0,219.3333333,0.0,0.011666667,0.0,0.0,3,1,3,5,2,0,0,1
267,0.0,0.0,0.0,0.0,5.0,74.0,0.0,0.04,0.0,0.0,3,2,2,1,5,0,0,1
268,0.0,0.0,0.0,0.0,15.0,1559.6,0.0,0.033846154,0.0,0.0,3,2,3,1,1,0,0,1
269,0.0,0.0,0.0,0.0,6.0,236.5,0.0,0.016666667,0.0,0.0,3,1,1,1,3,1,0,1
270,1.0,10.0,0.0,0.0,14.0,348.6666667,0.035714286,0.053571429,0.0,0.0,3,3,2,1,1,1,0,1
272,1.0,28.0,1.0,47.0,13.0,224.5,0.0,0.014285714,0.0,0.0,3,1,1,1,5,0,0,0
273,4.0,27.0,0.0,0.0,42.0,601.7666667000002,0.0,0.004545455,0.0,0.0,3,2,3,3,3,0,0,1
274,0.0,0.0,0.0,0.0,5.0,75.5,0.02,0.013333333,0.0,0.0,3,1,1,2,5,1,0,1
275,0.0,0.0,0.0,0.0,2.0,153.0,0.0,0.05,0.0,0.0,3,2,3,5,1,0,0,1
276,4.0,15.0,0.0,0.0,10.0,197.2,0.0,0.016666667,38.99,0.0,3,1,1,1,3,1,1,1
278,0.0,0.0,0.0,0.0,5.0,1162.5,0.0,0.025,0.0,0.0,3,2,2,2,2,0,0,1
279,0.0,0.0,0.0,0.0,32.0,556.6,0.014583333,0.039583333,0.0,0.0,3,2,2,3,1,0,0,1
280,0.0,0.0,0.0,0.0,3.0,41.0,0.0,0.033333333,0.0,0.0,3,2,2,1,3,1,0,1
281,0.0,0.0,0.0,0.0,11.0,300.0714286000001,0.0,0.02,53.9892,0.0,3,2,2,1,5,1,1,1
283,0.0,0.0,0.0,0.0,6.0,69.25,0.0,0.044444444000000013,0.0,0.0,3,2,2,4,3,0,0,1
285,0.0,0.0,0.0,0.0,8.0,402.0,0.0,0.038095238,0.0,0.0,3,2,2,2,1,0,0,1
287,0.0,0.0,0.0,0.0,35.0,3324.333333,0.011428571,0.024761905,0.0,0.0,3,2,2,1,1,0,0,1
288,11.0,215.52380950000003,1.0,70.0,87.0,3037.499952,0.002150538,0.007722385,0.0,0.0,3,2,2,5,1,0,0,1
289,0.0,0.0,0.0,0.0,4.0,59.0,0.0,0.05,0.0,0.0,3,1,1,1,5,0,0,1
290,1.0,11.0,0.0,0.0,51.0,1059.253472,0.010588235,0.022643039,0.0,0.0,3,3,2,5,3,0,0,1
291,2.0,20.0,0.0,0.0,7.0,720.0,0.0,0.011111111000000002,0.0,0.0,3,2,2,3,5,0,0,1
292,0.0,0.0,0.0,0.0,40.0,905.4856061,0.0135,0.03747619,0.0,0.0,3,3,2,2,1,0,0,1
294,2.0,8.0,1.0,14.33333333,14.0,603.6666667000002,0.0,0.0125,44.67925,0.0,3,2,2,1,5,0,1,1
295,0.0,0.0,0.0,0.0,13.0,328.9166667,0.0,0.014285714,59.79014286,0.0,3,3,2,1,3,0,1,1
296,0.0,0.0,0.0,0.0,33.0,778.8166667,0.0,0.022424242,0.0,0.0,3,2,3,1,1,0,0,1
297,4.0,171.25,0.0,0.0,22.0,851.5595238,0.004545455,0.031907307999999995,0.0,0.0,3,3,2,1,1,0,0,1
299,0.0,0.0,0.0,0.0,3.0,227.5,0.0,0.022222222000000003,0.0,0.0,3,2,2,1,3,0,0,1
300,5.0,227.3333333,0.0,0.0,17.0,528.9,0.0,0.002272727,0.0,0.0,3,1,1,1,5,1,0,1
301,0.0,0.0,0.0,0.0,15.0,872.8333332999997,0.0,0.026666667,0.0,0.0,3,2,2,2,3,1,0,1
303,0.0,0.0,0.0,0.0,35.0,835.0666667,0.012571429,0.044761905,0.0,0.0,3,2,2,5,1,0,0,1
304,0.0,0.0,0.0,0.0,4.0,82.5,0.0,0.05,0.0,0.0,3,3,2,1,3,0,0,1
308,0.0,0.0,0.0,0.0,12.0,94.5,0.033333333,0.025555556,0.0,0.0,3,3,2,4,5,0,0,1
309,5.0,86.0,0.0,0.0,23.0,267.3,0.0,0.016,0.0,0.0,3,1,1,4,5,1,0,1
310,0.0,0.0,0.0,0.0,29.0,3312.5,0.013793103,0.028965517000000007,0.0,0.0,3,2,2,1,5,0,0,1
311,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.066666667,0.0,0.0,3,2,3,1,3,1,0,1
313,0.0,0.0,1.0,24.0,27.0,1547.5,0.003703704,0.014814815,0.0,0.0,3,3,2,1,1,0,0,1
314,7.0,186.9761905,2.0,40.0,35.0,1276.157071,0.0,0.008681765,0.0,0.0,3,1,1,5,2,0,0,1
315,3.0,138.0,2.0,136.0,54.0,2631.1,0.0,0.00969697,0.0,0.0,3,1,2,1,2,0,0,1
318,2.0,61.0,0.0,0.0,5.0,97.0,0.0,0.04,0.0,0.0,3,2,2,1,1,0,0,1
319,1.0,14.0,0.0,0.0,46.0,1380.166667,0.0,0.01037037,0.0,0.0,3,4,1,1,1,0,0,1
320,1.0,38.0,0.0,0.0,23.0,1483.6,0.022916667,0.038373016,7.103020833,0.0,3,3,2,5,1,0,1,1
321,0.0,0.0,0.0,0.0,5.0,156.0,0.0,0.04,0.0,0.0,3,2,2,4,1,0,0,1
322,0.0,0.0,0.0,0.0,10.0,240.75,0.0,0.02,0.0,0.0,3,2,2,5,2,0,0,1
323,2.0,96.0,0.0,0.0,37.0,1238.5,0.005128205,0.016410256,0.0,0.0,3,2,2,1,2,0,0,0
325,4.0,111.0,0.0,0.0,4.0,54.0,0.0,0.028571429,0.0,0.0,3,2,2,1,1,0,0,1
326,2.0,147.0,0.0,0.0,2.0,35.0,0.0,0.05,0.0,0.0,3,2,2,1,2,0,0,0
327,0.0,0.0,0.0,0.0,15.0,175.91666669999995,0.013333333,0.026666667,0.0,0.0,3,1,1,1,1,1,0,1
328,3.0,53.16666667,0.0,0.0,11.0,263.6,0.0,0.003571429,0.0,0.0,3,3,2,1,5,0,0,1
